iter	Passed	Remaining
408	4724	6826
409	4738	6818
410	4747	6804
411	4759	6793
412	4771	6781
413	4781	6767
414	4793	6757
415	4805	6746
416	4816	6734
417	4826	6719
418	4838	6709
419	4849	6697
420	4859	6683
421	4872	6673
422	4883	6660
423	4892	6646
424	4904	6635
425	4916	6624
426	4925	6609
427	4937	6599
428	4949	6587
429	4957	6572
430	4970	6561
431	4980	6549
432	4991	6535
433	5003	6525
434	5014	6512
435	5023	6497
436	5035	6487
437	5044	6473
438	5055	6460
439	5067	6449
440	5077	6435
441	5087	6422
442	5099	6411
443	5109	6397
444	5119	6385
445	5129	6372
446	5139	6358
447	5152	6348
448	5164	6337
449	5173	6322
450	5185	6311
451	5196	6300
452	5205	6285
453	5218	6275
454	5228	6263
455	5237	6248
456	5249	6237
457	5259	6224
458	5269	6211
459	5281	6199
460	5291	6186
461	5302	6174
462	5313	6162
463	5322	6148
464	5334	6137
465	5346	6126
466	5355	6112
467	5367	6101
468	5379	6090
469	5387	6075
470	5399	6064
471	5411	6053
472	5420	6039
473	5432	6027
474	5443	6016
475	5452	6002
476	5464	5991
477	5476	5980
478	5485	5966
479	5497	5955
480	5508	5943
481	5517	5929
482	5530	5919
483	5541	5907
484	5550	5893
485	5561	5882
486	5572	5869
487	5582	5857
488	5594	5846
489	5604	5832
490	5614	5819
491	5625	5808
492	5635	5795
493	5646	5783
494	5658	5772
495	5667	5759
496	5679	5747
497	5691	5736
498	5703	5726
499	5713	5713
500	5726	5703
501	5735	5690
502	5745	5677
503	5757	5665
504	5765	5651
505	5777	5640
506	5789	5629
507	5798	5615
508	5811	5605
509	5822	5594
510	5832	5580
511	5844	5570
512	5855	5558
513	5864	5544
514	5876	5533
515	5886	5521
516	5895	5508
517	5908	5497
518	5916	5483
519	5927	5471
520	5940	5461
521	5950	5448
522	5961	5436
523	5973	5426
524	5983	5413
525	5992	5400
526	6004	5389
527	6014	5376
528	6025	5364
529	6037	5353
530	6046	5340
531	6058	5329
532	6069	5318
533	6078	5304
534	6090	5294
535	6101	5281
536	6110	5268
537	6122	5257
538	6131	5244
539	6142	5232
540	6154	5221
541	6163	5208
542	6175	5197
543	6187	5186
544	6196	5173
545	6206	5161
546	6218	5150
547	6228	5137
548	6239	5125
549	6250	5114
550	6259	5100
551	6271	5090
552	6282	5077
553	6291	5065
554	6304	5054
555	6315	5043
556	6325	5031
557	6338	5020
558	6349	5009
559	6358	4995
560	6371	4986
561	6382	4974
562	6391	4961
563	6403	4950
564	6413	4938
565	6423	4925
566	6434	4913
567	6442	4900
568	6453	4888
569	6464	4876
570	6474	4864
571	6486	4853
572	6498	4842
573	6508	4829
574	6520	4819
575	6530	4807
576	6540	4795
577	6552	4784
578	6564	4772
579	6573	4759
580	6586	4749
581	6596	4737
582	6605	4724
583	6617	4714
584	6627	4701
585	6637	4688
586	6649	4678
587	6658	4665
588	6670	4654
589	6682	4644
590	6694	4632
591	6704	4620
592	6716	4609
593	6726	4597
594	6736	4585
595	6748	4574
596	6758	4561
597	6770	4551
598	6784	4542
599	6795	4530
600	6805	4518
601	6817	4507
602	6829	4496
603	6838	4483
604	6850	4472
605	6860	4460
606	6869	4447
607	6882	4437
608	6895	4427
609	6905	4414
610	6915	4403
611	6927	4391
612	6936	4379
613	6948	4368
614	6958	4356
615	6968	4343
616	6980	4332
617	6989	4320
618	6999	4308
619	7011	4297
620	7020	4284
621	7030	4272
622	7041	4261
623	7051	4248
624	7063	4238
625	7074	4226
626	7084	4214
627	7096	4203
628	7107	4192
629	7116	4179
630	7129	4169
631	7143	4159
632	7153	4147
633	7164	4136
634	7176	4125
635	7186	4112
636	7196	4100
637	7208	4090
638	7217	4077
639	7229	4066
640	7241	4055
641	7250	4043
642	7261	4031
643	7272	4020
644	7281	4007
645	7295	3997
646	7307	3987
647	7318	3975
648	7329	3964
649	7341	3952
650	7350	3940
651	7362	3929
652	7374	3918
653	7384	3906
654	7395	3895
655	7407	3884
656	7417	3872
657	7427	3860
658	7439	3849
659	7448	3837
660	7459	3825
661	7472	3815
662	7481	3802
663	7492	3791
664	7503	3779
665	7514	3768
666	7527	3758
667	7540	3747
668	7551	3736
669	7561	3724
670	7575	3714
671	7586	3702
672	7594	3690
673	7607	3679
674	7618	3667
675	7627	3655
676	7638	3644
677	7647	3632
678	7658	3620
679	7670	3609
680	7679	3597
681	7693	3587
682	7705	3576
683	7716	3565
684	7727	3553
685	7740	3542
686	7752	3532
687	7762	3520
688	7775	3509
689	7787	3498
690	7796	3486
691	7808	3475
