iter	BalancedAccuracy	Logloss
223	0.7588918531	0.2769626076
224	0.758970346	0.2769134749
225	0.7594268571	0.2765656592
226	0.760040354	0.2762974049
227	0.7603471025	0.2760977171
228	0.760575358	0.2759016418
229	0.7603471025	0.2757351608
230	0.761188855	0.2756127595
231	0.7608821065	0.2753299409
232	0.7609605994	0.2751873261
233	0.7616525893	0.2749490781
234	0.7618095752	0.2746584854
235	0.7617310822	0.2745739383
236	0.7622660862	0.2743752003
237	0.7628083135	0.2741114913
238	0.7633433175	0.2739629874
239	0.763650066	0.2737813082
240	0.7644918184	0.2735914632
241	0.7644918184	0.2735493808
242	0.7644918184	0.273343207
243	0.7644918184	0.2732493652
244	0.7643420558	0.2730898652
245	0.7644918184	0.2727136235
246	0.7644918184	0.2725697897
247	0.7651838083	0.2723478478
248	0.7661825466	0.2719864362
249	0.7659542911	0.2716911399
