iter	Passed	Remaining
402	8100	12000
403	8122	11982
404	8140	11959
405	8156	11933
406	8177	11915
407	8196	11892
408	8215	11870
409	8234	11848
410	8253	11827
411	8273	11807
412	8292	11785
413	8310	11763
414	8330	11742
415	8349	11721
416	8367	11698
417	8384	11674
418	8403	11653
419	8419	11627
420	8437	11603
421	8453	11579
422	8469	11553
423	8488	11530
424	8508	11511
425	8528	11491
426	8552	11476
427	8573	11457
428	8595	11440
429	8615	11420
430	8633	11398
431	8650	11373
432	8665	11347
433	8683	11325
434	8702	11303
435	8722	11282
436	8739	11258
437	8756	11236
438	8775	11214
439	8793	11191
440	8812	11170
441	8834	11153
442	8851	11129
443	8868	11105
444	8885	11081
445	8901	11056
446	8920	11035
447	8938	11013
448	8958	10993
449	8978	10973
450	8996	10950
451	9014	10929
452	9031	10905
453	9052	10886
454	9070	10864
455	9090	10845
456	9110	10824
457	9130	10805
458	9148	10783
459	9169	10764
460	9189	10744
461	9208	10723
462	9226	10701
463	9242	10676
464	9260	10654
465	9281	10635
466	9299	10613
467	9316	10590
468	9335	10569
469	9353	10547
470	9373	10527
471	9395	10510
472	9412	10487
473	9431	10465
474	9448	10442
475	9465	10420
476	9482	10396
477	9501	10376
478	9519	10354
479	9537	10332
480	9556	10311
481	9572	10287
482	9591	10266
483	9608	10243
484	9625	10220
485	9641	10196
486	9657	10173
487	9673	10149
488	9692	10128
489	9709	10106
490	9727	10083
491	9743	10060
492	9761	10038
493	9777	10015
494	9794	9992
495	9813	9971
496	9834	9952
497	9852	9931
498	9870	9909
499	9887	9887
500	9903	9863
501	9922	9843
502	9939	9820
503	9959	9801
504	9975	9778
505	9994	9757
506	10011	9734
507	10031	9715
508	10049	9694
509	10067	9672
510	10085	9651
511	10104	9630
512	10120	9607
513	10140	9587
514	10157	9565
515	10175	9544
516	10193	9522
517	10211	9501
518	10232	9483
519	10251	9462
520	10268	9441
521	10287	9420
522	10308	9401
523	10325	9379
524	10344	9359
525	10366	9341
526	10384	9320
527	10403	9300
528	10420	9278
529	10438	9256
530	10457	9236
531	10479	9218
532	10499	9199
533	10517	9178
534	10535	9157
535	10555	9137
536	10578	9120
537	10601	9103
538	10620	9083
539	10640	9064
540	10659	9044
541	10678	9023
542	10697	9002
543	10714	8981
544	10731	8959
545	10747	8936
546	10764	8914
547	10783	8894
548	10800	8872
549	10818	8851
550	10838	8831
551	10856	8811
552	10874	8790
553	10893	8770
554	10912	8749
555	10934	8732
556	10954	8712
557	10975	8693
558	10994	8673
559	11011	8651
560	11028	8629
561	11047	8610
562	11065	8588
563	11082	8567
564	11098	8544
565	11116	8524
566	11143	8510
567	11166	8492
568	11186	8473
569	11206	8454
570	11225	8434
571	11245	8414
572	11261	8392
573	11283	8374
574	11303	8354
575	11326	8337
576	11345	8317
577	11361	8295
578	11379	8274
579	11400	8255
